engine,benchmark,sf,query,storage,n_reps,min_s,avg_power_w,avg_gpu_util,max_mem_mb,num_steady_samples,gpu_energy_j,gpu_energy_derived_j,avg_cpu_pkg_w,cpu_energy_j,cpu_energy_derived_j,total_energy_j,status,source_file
sirius,clickbench,10,q15,gpu,225000,0.004,58.3,5.5,15833.0,734,0.23,0.2332,112.1,0.45,0.4484,0.68,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q16,gpu,93338,0.008,62.4,6.4,15837.0,738,0.5,0.4992,112.1,0.9,0.8968,1.4,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q17,gpu,150000,0.006,61.1,2.8,15841.0,683,0.37,0.3666,112.5,0.68,0.675,1.05,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q18,gpu,45890,0.017,69.9,8.6,15835.0,646,1.19,1.1883,112.0,1.9,1.904,3.09,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q19,gpu,60000,0.0,94.0,26.6,15841.0,832,0.0,0.0,110.9,0.0,0.0,0.0,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q2,gpu,960000,0.001,52.2,1.3,15841.0,724,0.05,0.0522,111.5,0.11,0.1115,0.16,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q20,gpu,7500,0.007,206.5,87.9,15841.0,761,1.45,1.4455,111.4,0.78,0.7798,2.23,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q21,gpu,6667,0.008,201.5,84.4,15841.0,770,1.61,1.612,111.8,0.89,0.8944,2.5,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q22,gpu,5218,0.016,195.7,85.7,15841.0,1311,3.13,3.1312,112.1,1.79,1.7936,4.92,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q23,gpu,12000,0.007,196.3,79.5,15841.0,1377,1.37,1.3741,111.9,0.78,0.7833,2.15,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q24,gpu,40000,0.001,112.5,38.4,15841.0,1306,0.11,0.1125,112.7,0.11,0.1127,0.22,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q25,gpu,4866,0.001,146.2,80.6,15841.0,762,0.15,0.1462,116.4,0.12,0.1164,0.27,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q26,gpu,11250,0.001,124.7,67.2,15841.0,782,0.12,0.1247,115.7,0.12,0.1157,0.24,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q27,gpu,9232,0.003,163.5,72.4,15841.0,774,0.49,0.4905,114.2,0.34,0.3426,0.83,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q28,gpu,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,FALLBACK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q29,gpu,35464,0.021,54.2,4.4,15841.0,715,1.14,1.1382,112.3,2.36,2.3583,3.5,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
