engine,benchmark,sf,query,storage,latency_ms,avg_gpu_power_w,avg_cpu_power_w,total_power_w,gpu_energy_j,total_energy_j,status
maximus,h2o,3gb,q7,cpu,221.6780,126.4,0.0,126.4,28.0201,28.0201,OK
maximus,h2o,3gb,q9,cpu,46.5810,132.4,0.0,132.4,6.1673,6.1673,OK
maximus,h2o,3gb,q10,cpu,945.2680,146.3,0.0,146.3,138.2927,138.2927,OK
sirius,h2o,3gb,q1,gpu,11.0000,174.1,0.0,174.1,1.9151,1.9151,OK
sirius,h2o,3gb,q2,gpu,11.0000,193.2,0.0,193.2,2.1252,2.1252,OK
sirius,h2o,3gb,q3,gpu,93.0000,188.6,0.0,188.6,17.5398,17.5398,OK
sirius,h2o,3gb,q4,gpu,17.0000,203.7,0.0,203.7,3.4629,3.4629,OK
sirius,h2o,3gb,q5,gpu,13.0000,223.3,0.0,223.3,2.9029,2.9029,OK
sirius,h2o,3gb,q6,gpu,19.0000,249.5,0.0,249.5,4.7405,4.7405,OK
sirius,h2o,3gb,q7,gpu,69.0000,202.0,0.0,202.0,13.9380,13.9380,OK
sirius,h2o,3gb,q9,gpu,43.0000,282.2,0.0,282.2,12.1346,12.1346,OK
sirius,h2o,3gb,q10,gpu,1967.0000,140.7,0.0,140.7,276.7569,276.7569,OK
sirius,h2o,3gb,q1,cpu,11.0000,223.7,0.0,223.7,2.4607,2.4607,OK
sirius,h2o,3gb,q2,cpu,11.0000,194.6,0.0,194.6,2.1406,2.1406,OK
sirius,h2o,3gb,q3,cpu,109.0000,184.5,0.0,184.5,20.1105,20.1105,OK
sirius,h2o,3gb,q4,cpu,18.0000,205.2,0.0,205.2,3.6936,3.6936,OK
sirius,h2o,3gb,q5,cpu,13.0000,226.2,0.0,226.2,2.9406,2.9406,OK
sirius,h2o,3gb,q6,cpu,18.0000,251.3,0.0,251.3,4.5234,4.5234,OK
sirius,h2o,3gb,q7,cpu,71.0000,205.6,0.0,205.6,14.5976,14.5976,OK
sirius,h2o,3gb,q9,cpu,43.0000,279.5,0.0,279.5,12.0185,12.0185,OK
sirius,h2o,3gb,q10,cpu,1699.0000,135.8,0.0,135.8,230.7242,230.7242,OK
maximus,h2o,4gb,q1,gpu,15.9400,290.3,0.0,290.3,4.6274,4.6274,OK
maximus,h2o,4gb,q2,gpu,13.3220,349.5,0.0,349.5,4.6560,4.6560,OK
