benchmark,sf,query,n_reps,min_ms,avg_ms,all_ms,status
microbench_h2o,1gb,w1_002,5,8.4600,8.7024,9.5900;8.5300;8.4600;8.4610;8.4710,OK
microbench_h2o,1gb,w1_003,5,9.1880,9.2190,9.2400;9.1880;9.2560;9.2070;9.2040,OK
microbench_h2o,1gb,w1_004,5,8.7890,8.9560,9.5340;8.8280;8.8340;8.7890;8.7950,OK
microbench_h2o,1gb,w1_005,5,18.1080,18.5050,19.8660;18.1530;18.1080;18.2250;18.1730,OK
microbench_h2o,1gb,w1_006,5,26.8250,26.8640,26.8830;26.8250;26.8740;26.8290;26.9090,OK
microbench_h2o,1gb,w1_007,5,32.5090,33.0612,34.2200;32.5840;33.0260;32.9670;32.5090,OK
microbench_h2o,1gb,w2_008,5,1.0230,1.1796,1.7380;1.0360;1.0710;1.0230;1.0300,OK
microbench_h2o,1gb,w2_009,5,0.4350,0.4380,0.4390;0.4370;0.4390;0.4400;0.4350,OK
microbench_h2o,1gb,w2_010,5,1.2630,1.8102,3.9330;1.2630;1.2990;1.2680;1.2880,OK
microbench_h2o,1gb,w2_011,5,3.1250,3.1358,3.1250;3.1360;3.1620;3.1310;3.1250,OK
microbench_h2o,1gb,w2_012,5,1.2330,1.2500,1.2830;1.2640;1.2330;1.2370;1.2330,OK
microbench_h2o,1gb,w2_013,5,0.8890,0.9060,0.8890;0.9310;0.8900;0.9260;0.8940,OK
microbench_h2o,1gb,w2_014,5,9.4690,9.5140,9.4820;9.5480;9.4690;9.5150;9.5560,OK
microbench_h2o,1gb,w3_016,5,4.1390,5.1638,9.1850;4.1410;4.1390;4.1570;4.1970,OK
microbench_h2o,1gb,w3_017,5,4.7740,4.8522,5.0830;4.7740;4.8280;4.7910;4.7850,OK
microbench_h2o,1gb,w3_018,5,3.2520,3.2574,3.2640;3.2620;3.2560;3.2530;3.2520,OK
microbench_h2o,1gb,w3_019,5,3.5290,3.8862,5.0950;3.6970;3.5470;3.5630;3.5290,OK
microbench_h2o,1gb,w3_020,5,2.9310,3.1180,3.2770;3.2060;3.2130;2.9310;2.9630,OK
microbench_h2o,1gb,w3_021,5,3.8200,3.8396,3.8630;3.8200;3.8610;3.8310;3.8230,OK
microbench_h2o,1gb,w3_023,5,7.3840,7.4720,7.4540;7.3840;7.4730;7.5400;7.5090,OK
microbench_h2o,1gb,w4_027,5,22.5220,24.9122,24.3580;24.1190;22.5220;23.2720;30.2900,OK
microbench_h2o,1gb,w4_028,5,2.1890,4.1920,12.0520;2.3130;2.2050;2.1890;2.2010,OK
microbench_h2o,1gb,w4_029,5,2.7620,2.9534,3.6070;2.8400;2.7940;2.7620;2.7640,OK
microbench_h2o,1gb,w4_030,5,17.4580,26.7088,33.5670;26.3220;33.6750;22.5220;17.4580,OK
microbench_h2o,1gb,w4_031,5,77.0120,96.7870,100.5280;77.0120;94.6700;102.4910;109.2340,OK
microbench_h2o,1gb,w4_032,5,34.8380,40.6258,50.6560;47.5120;35.0720;35.0510;34.8380,OK
microbench_h2o,1gb,w4_033,5,124.3000,126.7802,131.4800;124.3110;124.3000;125.8360;127.9740,OK
